Ano	Precipitacao_total
1960	NA
1961	NA
1962	NA
1963	NA
1964	NA
1965	NA
1966	NA
1967	808.2
1968	1444.9
1969	1449.2
1970	1149.6
1971	850.0
1972	1128.4
1973	802.6
1974	1233.8
1975	821.2
1976	1258.1
1977	1639.5
1978	1456.3
1979	1432.3
1980	911.0
1981	1183.5
1982	1034.4
1983	1093.9
1984	1377.4
1985	1202.2
1986	1080.7
1987	1341.1
1988	961.0
1989	1108.9
1990	863.4
1991	922.2
1992	824.5
1993	1092.8
1994	1193.8
1995	1200.9
1996	1436.7
1997	1366.4
1998	916.5
1999	1171.7
2000	1549.1
2001	1484.5
2002	1588.0
2003	1417.3
2004	939.0
2005	608.7
2006	1180.8
2007	636.8
2008	998.5
2009	1152.8
2010	1172.4
2011	935.3
2012	865.5
